sentence,BookRestaurant,GetWeather,PlayMusic,RateBook
"I need a reservation for apr. the sixteenth, 2027 in Cazenovia, CA",1,0,0,0
"Book a table at a bar in Moody for deloris, ester and petra alvarez.",1,0,0,0
Can you find me reservations for this morning at a restaurant that serves stracciatella?,1,0,0,0
Book the best joint for 3 people.,1,0,0,0
"book a spot for me, tiffany and sondra at a top-rated restaurant in MS with udupi",1,0,0,0
Please book a restaurant room which serves hangtown fry dish in Jagual,1,0,0,0
I need a reservation for the best asian joint on Jan. 3 in Bradford Alabama for a party of 9,1,0,0,0
Book a gastropub that has balinese food in twenty hours in Comunas for my nephew and I,1,0,0,0
I need to book a Theme restaurant this month in Chile,1,0,0,0
Book a table for ten people at a restaurant which serves snack.,1,0,0,0
I would like to book a restaurant in Lebanon,1,0,0,0
Book the Fashion Café for elevenses.,1,0,0,0
book a spot for me and my great grandfather at a brasserie with a pool at 7 am,1,0,0,0
I need a table at T-Rex for nine in Brunei,1,0,0,0
Book a table for two for this autumn,1,0,0,0
book a spot at a restaurant with wifi that is neighboring Suriname,1,0,0,0
Book a restaurant in Papua New Guinea for me and my daughters,1,0,0,0
book a spot at a highly rated tavern in Colombia,1,0,0,0
Make a reservation at a tavern which serves clam cake for a party of 8 in Western Sahara.,1,0,0,0
Make me a reservation in South Carolina,1,0,0,0
Book a table for 2 at a restaurant in Follett,1,0,0,0
book a sushis serving restaurant in Uzbekistan,1,0,0,0
I need a table for 8 during midday in Montana,1,0,0,0
book a table in California for rita and brenda at Hurley Mountain Inn on january the 11th,1,0,0,0
me and my grandmother want to eat umbrian food on January the 7th at a brasserie.,1,0,0,0
book a restaurant for 4 that's not far from CA,1,0,0,0
Book me a restaurant please.,1,0,0,0
book for five in Georgia at The Coffee Bean & Tea Leaf,1,0,0,0
Book a table for 6 in New Hampshire for next week.,1,0,0,0
book a table at SkyCity in Salado for me and hannah,1,0,0,0
"book a eastern european cuisine restaurant in midday for four in Meers,MP",1,0,0,0
Book a highly rated northeast indian  brasserie in Kenova for nannie and I at 14:41.,1,0,0,0
gwen carter and I want a reservation in the Dominican Republic,1,0,0,0
"1 minute from now, I will need reservations at a restaurant in Vanlue.",1,0,0,0
Book a reservation for a brasserie serving soupe in Tokelau,1,0,0,0
I'd like to have southeastern brazilian at the pub in Dominica,1,0,0,0
Book a reservation for 6 at a restaurant in Deersville,1,0,0,0
book a spot at Colony,1,0,0,0
book a spot for 2 at a brasserie that has hot dog in WA at twelve AM,1,0,0,0
"Book a restaurant neighboring IL for me, rachelle and wilda.",1,0,0,0
"Reserve a table for 3 people at The Cubby Bear,  in Comoros.",1,0,0,0
Book a spot for nine at The Cubby Bear in Luxor,1,0,0,0
Find a reservation for a tavern that serves pizzas for a party of 6,1,0,0,0
Find a reservation for 3 people,1,0,0,0
I need a reservation for Harveys this Winter in neighboring Wisconsin for terri and I,1,0,0,0
Reserve me a table a bar that serves african food for thirteen o'clock for 1 in Moravian Falls.,1,0,0,0
book Tun Tavern for morning in Norfolk Island,1,0,0,0
book a highly rated bar in Curacao for one,1,0,0,0
I want to go to that popular ethiopian restaurant,1,0,0,0
I need a reservation for a gastropub that serves a maple bacon donut,1,0,0,0
I need a table at Eddie’s Attic in Nevada for one,1,0,0,0
I need a restaurant on july 18th in Rose Bud,1,0,0,0
Book a restaurant with wifi for nine people.,1,0,0,0
book a spot at Bobcat Bite in Needmore for ten am,1,0,0,0
I want reservations at a restaurant in Robert Lee for 21:05:17.,1,0,0,0
Book a reservation for nine at an outdoor restaurant,1,0,0,0
book me a Rustic inn restaurant for 8 members at Nappanee,1,0,0,0
Book a highly rated restaurant for one person in Rainbow Lakes.,1,0,0,0
book a restaurant for nine on 16 hours from now,1,0,0,0
me and imelda want a reservation in Missouri at seven am,1,0,0,0
Book a nearby northeast indian restaurant in North Carolina for ten people at six am.,1,0,0,0
Book me a restaurant where I can get a burrito,1,0,0,0
I want to get reservations at a place close by for 6 people to eat in SC.,1,0,0,0
Make me a reservation within walking distance in WY for 6 pm,1,0,0,0
Need to book a table downtown within walking distance of me at J.G. Melon,1,0,0,0
Make a booking for the highly rated food court in Montenegro.,1,0,0,0
Book a table for 6 in Verona.,1,0,0,0
Book the Slippery Noodle Inn in Gober.,1,0,0,0
book a restaurant within the same area as Saratoga Av,1,0,0,0
Please book a joint type restaurant room with spa facility to accommodate 8 members,1,0,0,0
My group of seven wants to eat at Yogurt Mountain in Slick tonight.,1,0,0,0
Reserve a table for two for jun. 13th in a neighboring bistro which serves mongolian food in Northway.,1,0,0,0
Book a restaurant not far in Milladore for 6 people.,1,0,0,0
Book reservations at a restaurant in MI seven weeks from now,1,0,0,0
I need a reservation for National Coney Island with a party of 8 in NV,1,0,0,0
book a brasserie with internet fascility for 5 in a year  in Oklahoma,1,0,0,0
Book the Boon Brick Store for nine people.,1,0,0,0
Book a table at a restaurant in the Cayman Islands two hundred ninety six days from now,1,0,0,0
book a cafeteria having pool for four in Algeria,1,0,0,0
find and book a restaurant that serves dumplings,1,0,0,0
Book a brasserie in Samoa for four people.,1,0,0,0
book a restaurant in Puerto Rico,1,0,0,0
book in OH in Gurabo for velma and gloria,1,0,0,0
"book a restaurant for me, angela and mercedes in Cimarron City, Colorado",1,0,0,0
Book a table for 9 people for four pm in Johnson.,1,0,0,0
book me a restaurant that serves green bean casserole for five people,1,0,0,0
book at Dutchess Manor in Portugal for 6,1,0,0,0
restaurant in Bulgaria this week party for 9 numbers,1,0,0,0
Make me a reservation for a party of eight in Ledoux,1,0,0,0
book this week for their step sister's workplace close,1,0,0,0
I need a party of two reservation faraway from Atlantic Av-Barclays Ctr at a spa for fast food,1,0,0,0
book a spot in Malin KY,1,0,0,0
book a spot in the same area as Yankee Doodle Coffee Shop in Madagascar,1,0,0,0
"book a food court in supper time distant from Northern Mariana Islands for me, winnie and courtney",1,0,0,0
Book a restaurant that serves capicollo in Kit Carson with ilene and aisha.,1,0,0,0
"book James D. Conrey House for madeleine, keisha and clara alvarez far from your colleague's college",1,0,0,0
I want to book a meal at a restaurant that searves kouglof.,1,0,0,0
Book Laurelhurst Theater for 8 people.,1,0,0,0
I want to book a restaurant for supper in Kellerton for 2,1,0,0,0
Can you book a table for a party of 6 close to DeKalb Av,1,0,0,0
I would like to book a restaurant within the same area as Myrtle Av for 6,1,0,0,0
I have six people who would like to eat at a cafe that serves american chinese cuisine in TX.,1,0,0,0
I'd like to get a restaurant booked on mar. fourteenth in MD.,1,0,0,0
"book a mexican brasserie close by Woodcliff Lake for a party of 7 on April 25, 2026",1,0,0,0
book a table for seven in Walpole,1,0,0,0
Can you get seating for a group of 6 at twenty o'clock at a restaurant and spa faraway from Palmyra,1,0,0,0
I want to go to the Freight House in Gabon,1,0,0,0
"I need a table for nine at a restaurant in Pelican Bay serving chips on December 6, 2031",1,0,0,0
"book a spot for robyn martinez, maude and I at a steakhouse not far from their place",1,0,0,0
I would like to book a restaurant in Poncha Springs for 8 at 00:32 am,1,0,0,0
book in South Dakota for lobster newberg at a pub,1,0,0,0
"book a masala bar on march 6, 2034",1,0,0,0
Book a reservation for ten at a restaurant in AMerican Samoa at 2 am,1,0,0,0
Book a restaurant for ten in Germfask.,1,0,0,0
book a spot for 8 in Hungary on february the 14th,1,0,0,0
Book a churrascaria restaurant that serves chips for five people.,1,0,0,0
Find a reservation at Sunset at a gastropub for 2 people,1,0,0,0
Lets go far to The Wolseley in Maine,1,0,0,0
book a spot for eight at a pub in New Mexico,1,0,0,0
Book a restaurant with parking for kirsten morris and I.,1,0,0,0
Book a restaurant for ten in Exmore at sunset,1,0,0,0
Can you book reservations for jeanne and charlotte at a diner in Mayotte,1,0,0,0
"I'm hoping to find a table for six at a pub on jul. 19, 2029.",1,0,0,0
"21 weeks from now elinor, crystal turner and nita want to eat german food at a bar in distant California",1,0,0,0
Find a place for me to eat in Connecticut for 9 and a half months from now,1,0,0,0
I want to take my bf and I to get some pain perdu from a food truck,1,0,0,0
I'd like a table for five at any restaurant,1,0,0,0
I'd like to book 4 seats at a restaurant.,1,0,0,0
I want to make a reservation for a group of 4 at a churrascaria type spa,1,0,0,0
Schedule the food truck to be at your place in the distant future.,1,0,0,0
Can you make reservations at a restaurant that serves mashed pumpkin for six PM,1,0,0,0
Book The Crown at Whitebrook in RI for 2 people.,1,0,0,0
i need to book a restaurant for five in Liberia at The Maisonette,1,0,0,0
Book spot for eight at bar that serves potée,1,0,0,0
table for 6 at a brasserie,1,0,0,0
Book reservations at James D. Conrey House at 1 PM for a party of nine,1,0,0,0
Book a fast food restaurant.,1,0,0,0
I want to book a doughnut bar in AMerican Samoa,1,0,0,0
"Need a table  for party of five for December 26, 2040 in the state of MT",1,0,0,0
I want to book an ethiopian bar for this Afternoon.,1,0,0,0
I need to book a table for 4,1,0,0,0
book a taverna for 10 for NY,1,0,0,0
I need a table for 4 in Florida,1,0,0,0
book a table in Fort Loudon at a restaurant for 5,1,0,0,0
I want to go to the popular pub at ten PM,1,0,0,0
I need a popular moroccan cafeteria,1,0,0,0
please book highly rated restaurant  with food truck tuscan for me and adela in Hallam Indiana,1,0,0,0
Book reservations at a  for seven at a highly rated restaurant that serves kosher food in VI,1,0,0,0
I need to book the Fashion Cafe for meal in Lavina,1,0,0,0
book an oyster bar in AMerican Samoa for lunch,1,0,0,0
I want to book a restaurant with a pool for five in Conehatta,1,0,0,0
"book a spot for krista, yolanda and I in New Mexico",1,0,0,0
Can you get me seating for a party of 4,1,0,0,0
book a cafe for one in the Cocos Islands,1,0,0,0
Book the best eastern european restaurant for 5 people at two o'clock in Cohocton WY.,1,0,0,0
I need a table for 5 at the restaurant I ate at last Oct.,1,0,0,0
Book a table for January the twentieth at a place far from your daughter's campus,1,0,0,0
holly and brittany need a reservation for a sardinian tea house close by CO,1,0,0,0
I need to book a table at a place around here in PA for a party of two,1,0,0,0
"Book a reservation for 5 people next week at The Pump Room, Chicago",1,0,0,0
I need a fast food restaurant that will seat two in a smoking room.,1,0,0,0
Please book a restaurant for 45 weeks from now in FM,1,0,0,0
Find a coffeehouse in Illinois for three,1,0,0,0
Book a  table for 9  scheduled for april the 8th in NJ.,1,0,0,0
book a spot for 2 at a restaurant in Mayotte at 06:13 AM,1,0,0,0
"I want to book a spot at a bar in Henniker, North Dakota.",1,0,0,0
Book a table for 4 in California,1,0,0,0
"me, maggie and ellen want to eat at Lentil as Anything",1,0,0,0
Book seating for one person at a food truck,1,0,0,0
Please book a table for 6 people in the same area as Bedford Park Blvd-Lehman College,1,0,0,0
"Book a reservation for a parry of eight for a restaurant in Birch River, MO",1,0,0,0
book San Francisco Brewing Company for two located at AL,1,0,0,0
"Book a table for kirsten price, audra and I faraway from our location at an outdoor taverna",1,0,0,0
Book a table for 1 at RingSide Steakhouse in Hurricane.,1,0,0,0
book at The Halal Guys on Oct. 17,1,0,0,0
book a spot at a pizza place nine weeks from now in Wisconsin,1,0,0,0
I need to make a reservation at a top-rated moroccan restaurant in Bone that is nearby and can seat 8,1,0,0,0
need a table somewhere in McLaurin Connecticut,1,0,0,0
I want to book a reservation within the same area of AMelia Court House for 4.,1,0,0,0
book me a diner close-by Benin that serves strolghino for eight people,1,0,0,0
book a taverna for a party of 10,1,0,0,0
Book a restaurant for three people in Jenkins.,1,0,0,0
Book a table for eight this month in Maldives.,1,0,0,0
I am looking for a top-rated restaurant near bougatsa that can feed 3 that is close to Pelham Bay Park,1,0,0,0
I want to book an oyster bar for five people.,1,0,0,0
Give me a top-rated restaurant that's eastern european,1,0,0,0
book a tea house on 5/20/2028 in Pataskala that serves crepe in NC for five,1,0,0,0
book a spot for 1 close to geraldine's house,1,0,0,0
I want to eat breakfast at the Green Restaurant Certification,1,0,0,0
"I want to book a restaurant in Wallsburg, Missouri for michele, diann and pam",1,0,0,0
Book a table at a brasserie far from my Livonia Av.,1,0,0,0
Where can I book a table close to me in Moon Run at sixteen o'clock that will take three people,1,0,0,0
I'd like a table for my step grandfather and I at Five Fifty-Five in NV,1,0,0,0
pizzeria restaurant in Kellnersville HI that is outdoor for ten,1,0,0,0
I need a reservation for ten at a tavern in West Virginia,1,0,0,0
book a delicatessen that is indoor for 3,1,0,0,0
I'd like to eat at a restaurant around China with a party of 7 anywhere that serves ouzeri,1,0,0,0
Book a table for 10 people at a restaurant which offers internet.,1,0,0,0
book a spot for 6 at a gateau restaurant,1,0,0,0
book a spot for nine near Togo,1,0,0,0
I need a reservation for an indoor restaurant in China,1,0,0,0
book a table for one in a bar serving saucisse for meal in Calistoga CO,1,0,0,0
Book a bakery at zero o'clock for 5 people.,1,0,0,0
I need a reservation that has spanish rice at a cafeteria with ten people today,1,0,0,0
I want a table for five at a place in Russia on 4/4/2036,1,0,0,0
"Book a reservation for me, marva and barbara at a restaurant with parking",1,0,0,0
Find a reservation for a party of six in Tuvalu,1,0,0,0
I need a reservation for The Original House of Pies with three people in Plandome Manor PA,1,0,0,0
I need to book a restaurant in the same area  as Thompsontown for emma and karen johnson,1,0,0,0
book for one in Indiana at a restaurant,1,0,0,0
I'd like a table for eight at a close-by place in Carpenterville,1,0,0,0
Book a tea place at seven,1,0,0,0
book for 2 at a cafe for burgers in Gasport,1,0,0,0
book a spot at the food truck in MA,1,0,0,0
Book a table for five at The Training Table.,1,0,0,0
I want to book The Hat for my grandfather and I in Arkansas.,1,0,0,0
I'm looking to book a spot at a restaurant in RI.,1,0,0,0
I need to book a restaurant for five in 1 minute that serves chichi in East Prairie,1,0,0,0
"book a restaurant for 2 in Cross Timbers, District Of Columbia",1,0,0,0
Find and book me a taverna restaurant in Gilluly that serves lobster newberg,1,0,0,0
I'd like to eat at a highly rated swiss restaurant in Irma at two pm,1,0,0,0
book for 8 for argentinian food at a bakery,1,0,0,0
Book a popular bar in Chowchilla,1,0,0,0
Book a table for 2 at a FM restaurant serving grits for the next meal.,1,0,0,0
book a spot distant from the neighborhood on the Week-end,1,0,0,0
I'd like a table for Midday at The Unseen Bean,1,0,0,0
Find me a table for a cafe during my Guinea trip for one.,1,0,0,0
I require a reservation for one at the most highly rated restaurant in Uzbekistan.,1,0,0,0
Book the nearby Meriton Grand Hotel Tallinn in Missouri.,1,0,0,0
I need a table at a tavern that has bougatsa,1,0,0,0
I need to take three people to eat,1,0,0,0
Book a reservation not far from 8th St,1,0,0,0
Make a restaurant reservation for me and my son at twenty three o'clock.,1,0,0,0
Book a reservation for 2 at a food truck with pool in New York,1,0,0,0
I need seats for 6 at a place in AK,1,0,0,0
Get me a table at The Hand & Flowers for sixteen hours.,1,0,0,0
Book osteria restaurant for 1 person in MI.,1,0,0,0
I'm in MI and want to eat somwhere nearby Midday.,1,0,0,0
book a spot at the best brasserie near Saudi Arabia,1,0,0,0
book me a restaurant in Freshwater Bay for ava and I in Alaska,1,0,0,0
Book a restaurant in Liechtenstein for seven people.,1,0,0,0
book a table at 04:36:28 at the northeast indian restaurant,1,0,0,0
Book a cafeteria that serves bagels for six people.,1,0,0,0
Book a northeastern brazilian restaurant for 10 am,1,0,0,0
I need a reservation for a restaurant now with a party of 9 in Hilt,1,0,0,0
I want to eat in 19 hours  at NM,1,0,0,0
book trentino serving bar for 4,1,0,0,0
I want to book reservations for 8 at an indoor restaurant.,1,0,0,0
I want a table for 9 at the taverna pub,1,0,0,0
Book a restaurant within the same area of Earls Court for lucille and marina.,1,0,0,0
"book for six on jan. 18, 2029",1,0,0,0
I need to book a table for 7 in Estonia,1,0,0,0
Book a table for six around yolanda's apartment.,1,0,0,0
I'm in Bowling Green. Please book a restaurant for 1 close by.,1,0,0,0
"Book the best halal restaurant in Slovakia for brigitte taylor, katelyn and natalie on jun. 2.",1,0,0,0
book a table for ten in Pollock PA,1,0,0,0
book a brasserie,1,0,0,0
"Book a table for 10 people at Harry’s Bar, Benin.",1,0,0,0
I need seating for ten people at a bar that serves czech cuisine,1,0,0,0
I need a table at a restaurant that serves toast eleven months from now,1,0,0,0
restaurant in Watauga for me and my aunt,1,0,0,0
book a table for 10 in CHAR No.4 in Colombia,1,0,0,0
I need to book a table for claudia and imelda at a brasserie that is top-rated,1,0,0,0
I want to eat close by East Brady for seven  people,1,0,0,0
book a table in Arizona serving italian-american cuisine in a tavern for 2,1,0,0,0
Book a gastropub in Rose Creek for elevenses.,1,0,0,0
"Book a table for nine people at a brasserie on Jan. 16, 2034",1,0,0,0
Book a table for 6 at a top-rated restaurant in North AMityville MA that serves south tyrolean food,1,0,0,0
book a fried fish serving restaurant for one at 20 hours from now,1,0,0,0
"I'd like to book at a place in Michigan for a party of 3, name of the restaurant is Carter House Inn.",1,0,0,0
I need a table for 4 at a restaurant around 0 AM.,1,0,0,0
Find a reservation for a highly rated brasserie for me and my step sister,1,0,0,0
Book a table for 1 at Thomas Hynes House.,1,0,0,0
"Please book a restaurant in Village Green, CA.",1,0,0,0
I'd like to eat in Montana on 10/22/2030,1,0,0,0
book in town for 3 at a restaurant outdoor that is not far,1,0,0,0
book a brasserie for connie scott and madeline in Northern Mariana Islands in eleven hours,1,0,0,0
I need reservations in ND in the city of Briarwood for me and my colleagues.,1,0,0,0
I have a party of 10 that would like to eat outdoor at a tavern.,1,0,0,0
I want to book a table for two at a close by bar in Kuwait.,1,0,0,0
book me a reservation at a bar around Juliff for three people that serves bucatini for now,1,0,0,0
I'd like to eat at a pub in Arkport,1,0,0,0
book an australian restaurant in Moldova,1,0,0,0
Book an indonesian brasserie for seven people the day after tomorrow in Hawaii.,1,0,0,0
book me best joint restaurant for 2 members at AMerican Samoa today,1,0,0,0
I want a table for 9 in Loyola at Gus Stevens Seafood Restaurant & Buccaneer Lounge,1,0,0,0
Please book a table for four at a restaurant in TN,1,0,0,0
I want to eat at the Trout Creek restaurant for 9 people for bougatsa that is the best,1,0,0,0
I want to book a delicatessen serving testaroli in Somalia for 7/25/2027.,1,0,0,0
Please book me a table for three at an american gastropub,1,0,0,0
Book reservations at a restaurant in Olton around supper time,1,0,0,0
book now in KY at Loveless Cafe,1,0,0,0
I'd like to take a party of five today to a place in Colorado,1,0,0,0
Reserve a table for 7 at a cafeteria in Lafe city.,1,0,0,0
Book a neighboring coffeehouse with internet in Shingleton.,1,0,0,0
book a spot for two at Sale Creek at eight AM,1,0,0,0
charlene and I and are are in Liechtenstein and want restaurant reservations at midnight.,1,0,0,0
Book an outdoor restaurant in MD at 11 pm for 8.,1,0,0,0
book a pub for pepperoni near their house and not far,1,0,0,0
I need to book a restaurant in Utah in 5 years and a half from now,1,0,0,0
Book a reservation for seven people at a bakery in Osage City,1,0,0,0
"I would like to book a restaurant in the same area as Tremont Av for nadine, sherrie and I on 3/21/2018",1,0,0,0
Find a restaurant for marylou and I within walking distance of my mum's hotel,1,0,0,0
Book the City Tavern in Holiday KS.,1,0,0,0
"book a english pub for me, belinda and dena close-by Syria next dec.",1,0,0,0
"book a spot for 8 at a tavern on Jun. the 11th, 2034",1,0,0,0
I need a reservation for 4 in Illinois,1,0,0,0
I want a table for four for 2 years from now,1,0,0,0
book a table in Alberton for me and my mother in law at a restaurant,1,0,0,0
Book a table for 8 people at Robinson House.,1,0,0,0
Book a table for one at a highly rated bistro,1,0,0,0
Book a restaurant for august fourth not far from the Marshall Islands.,1,0,0,0
book a highly rated place for 8 at a restaurant,1,0,0,0
book a table in Cottondale not far for in two hundred sixty nine days,1,0,0,0
"Please reserve a table at the food truck in Wheeler for december 4th, 2019",1,0,0,0
I need a table for six at a bar that serves varenyky,1,0,0,0
Book a restaurant in Pinecliffe Missouri this month.,1,0,0,0
I want to book a restaurant for four people in Eminence.,1,0,0,0
Book Coney Island neighboring VA for marina and I.,1,0,0,0
I need a reservation for a restaurant close by their hostel,1,0,0,0
book a table for 10 at a restaurant in Federated States Of Micronesia,1,0,0,0
Please book me a reservation this year for a restaurant within the same area of my office,1,0,0,0
book The Fry Bread House for seven in Olive,1,0,0,0
I need a table for 4 at The Brass Rail.,1,0,0,0
Book a table in eastern european restaurant in Macedonia.,1,0,0,0
Need a table for a party of eight one hour from now in Exira SD in a pub that serves oysters rockefeller,1,0,0,0
Book a restaurant in Eleele on October the fifth for 3 people.,1,0,0,0
"Book a table at Top Pot Doughnuts in Greensburg, AMerican Samoa",1,0,0,0
book me a table at a bistro that serves maple syrup for a party of 10,1,0,0,0
Looking for a tibetan restaurant and need reservations for 1.,1,0,0,0
Reserve a table for my bf and I at Montreal Pool Room in Indiahoma,1,0,0,0
book a spot for me and sonja at a popular pizzeria,1,0,0,0
courtney and ruby want to eat at a restaurant three years from now,1,0,0,0
Find a reservation far from my work location in eight hours for 8 people at Union Auto Company,1,0,0,0
Book a table at a restaurant which serves sushis next week,1,0,0,0
"I need to book the Beardslee Castle in Albania for me, cassie and lesley",1,0,0,0
I'd like to eat a restaurant in or nearby Pelahatchie at 12 o'clock,1,0,0,0
Book a bar that serves stracciatella in North Dakota for four at four am,1,0,0,0
I want to get nine seats at a restaurant that serves ice cream cake.,1,0,0,0
Make me a reservation somewhere near here for me and my step brother by adeline's apartment,1,0,0,0
Book a table for two at a restaurant faraway from office in California.,1,0,0,0
"Book a table for four in Orchard Grass Hills, NV",1,0,0,0
book a top-rated osteria seven weeks from now,1,0,0,0
Book a top-rated food court in GU.,1,0,0,0
"book a spot for ten, tomorrow at a popular vegan restaurant that is close to Alabama",1,0,0,0
"Make dinner reservation for 3 people on june 23rd, 2040 in Blodgett.",1,0,0,0
Book a table for 8 right now for a restaurant in Meadow Vale,1,0,0,0
Book a popular tuscan restaurant for 7 people in West Richfield,1,0,0,0
I want to book a restaurant next year in Glazier for 6 people.,1,0,0,0
"book a spot for marci, marylou and amelia far from North Korea",1,0,0,0
I want to eat at the bar Saint Vincent and the Grenadines at thursday for five people,1,0,0,0
Book a restaurant this year in Pagosa Junction for a romanian stle cusine for a party of two,1,0,0,0
Book reservations at a diner that serves ribs not far from Lexington Av-53rd St,1,0,0,0
Book reservations at the Laurelhurst Theater for a party of 7,1,0,0,0
book a spot for nine in Lavalette Guam,1,0,0,0
Book me a table for nine at a bar with parking in Qatar,1,0,0,0
book a table at a churrascaria for august 5 that has parking,1,0,0,0
I need a reservation for eight at a diner that has desserts in Ashmore TN,1,0,0,0
"Please book a coffeehouse restaurant type room to accommodate gretchen, trisha and amber which serves pastelaria dish",1,0,0,0
I need a restaurant now for a party of ten,1,0,0,0
I need a reservation for Red Square on aug. the 9th,1,0,0,0
book a highly rated place for my momy and I for mughlai food at a restaurant,1,0,0,0
Book a reservation for Gaslight Tavern on may the twenty-seventh,1,0,0,0
I would like to book an AMerican Samoa restaurant for 8,1,0,0,0
Make me a reservation for a party of six at The K Club on feb. 7th,1,0,0,0
Book a table for 1 somewhere in Andorra,1,0,0,0
Book me a reservation for a mediterranean restaurant on Confederate Memorial Day nearby Ocean Grove,1,0,0,0
Book a table for tomorrow for five people.,1,0,0,0
book a spot at a highly rated pub in Woodston,1,0,0,0
Book a reservation for 4 at a bar serving corn relish,1,0,0,0
I need a reservation for 3 at Clinton Street Baking Company & Restaurant,1,0,0,0
I'd like to eat at a restaurant with wifi,1,0,0,0
Book reservations at a restaurant for eight people in New Jersey,1,0,0,0
I'd like a table for 7 at ten pm at a cafeteria in AL that serves malaysian food,1,0,0,0
